ds,yhat,yhat_lower,yhat_upper
2019-01-01,2054368.5581401372,1892175.5909310842,2229261.675041292
2019-02-01,1961183.1906400549,1782247.316111637,2128334.954103341
2019-03-01,2807060.1701243883,2635377.714718009,2978359.3884553723
2019-04-01,3390635.2114712847,3213663.0953947664,3557618.6210999237
2019-05-01,2911769.7854840616,2742974.5529680797,3071418.4018012877
2019-06-01,2818584.3508627703,2645247.9306849283,2990087.468664558
2019-07-01,2647785.8905063635,2478922.1654751287,2809589.7139885696
2019-08-01,2244457.210918256,2074876.7274087504,2408245.49731657
2019-09-01,2097595.3906458197,1935972.4955518355,2268094.576170696
2019-10-01,3736782.901272896,3556883.443350133,3905206.8634644425
2019-11-01,3199641.0727651007,3025515.4553205795,3360868.2392451195
2019-12-01,4613502.271997986,4454663.513157439,4798919.636466983
2020-01-01,8751.94653767813,-160670.54212499573,168912.48932336146
2020-01-31,5207783.058157404,5045436.0735307755,5385252.944912233
2020-02-29,4057042.0532928887,3889375.0338046844,4231836.17167719
2020-03-31,5636483.5484197475,5449250.922563504,5811169.398926637
2020-04-30,866152.9270719942,679505.6568844869,1033875.9251747028
2020-05-31,5741193.038312713,5572553.310940035,5903361.426203478
2020-06-30,6648759.019560676,6486806.1529938625,6824750.173317463
